service_id,date,exception_type
106-13401,20160805,1
106-13401,20160812,1
106-13401,20160819,1
106-14001,20160609,1
106-14001,20160616,1
106-14001,20160623,1
106-14001,20160630,1
106-14001,20160707,1
106-14001,20160714,1
106-14001,20160721,1
106-14001,20160728,1
106-14001,20160804,1
106-14001,20160811,1
106-14001,20160818,1
106-14101,20160608,1
106-14101,20160615,1
106-14101,20160622,1
106-14101,20160629,1
106-14101,20160706,1
106-14101,20160713,1
106-14101,20160720,1
106-14101,20160727,1
106-14101,20160803,1
106-14101,20160810,1
106-14101,20160817,1
106-14201,20160606,1
106-14201,20160613,1
106-14201,20160620,1
106-14201,20160627,1
106-14201,20160711,1
106-14201,20160718,1
106-14201,20160725,1
106-14201,20160801,1
106-14201,20160808,1
106-14201,20160815,1
106-15504,20160611,1
106-15504,20160618,1
106-15504,20160625,1
106-15504,20160702,1
106-15504,20160704,1
106-15504,20160709,1
106-15504,20160716,1
106-15504,20160723,1
106-15504,20160730,1
106-15504,20160806,1
106-15504,20160813,1
106-15504,20160820,1
106-21005,20160605,1
106-21005,20160612,1
106-21005,20160619,1
106-21005,20160626,1
106-21005,20160703,1
106-21005,20160710,1
106-21005,20160717,1
106-21005,20160724,1
106-21005,20160731,1
106-21005,20160807,1
106-21005,20160814,1
106-2201,20160610,1
106-2201,20160617,1
106-2201,20160624,1
106-2201,20160708,1
106-2201,20160715,1
106-2201,20160722,1
106-2201,20160729,1
106-2201,20160805,1
106-2201,20160812,1
106-2201,20160819,1
106-23804,20160611,1
106-23804,20160618,1
106-23804,20160625,1
106-23804,20160702,1
106-23804,20160709,1
106-23804,20160716,1
106-23804,20160723,1
106-23804,20160730,1
106-23804,20160806,1
106-23804,20160813,1
106-23804,20160820,1
106-3104,20160704,1
106-4,20160704,1
106-4801,20160819,1
106-5001,20160606,1
106-5001,20160607,1
106-5001,20160608,1
106-5001,20160609,1
106-5001,20160610,1
106-5001,20160613,1
106-5001,20160614,1
106-5001,20160615,1
106-5001,20160616,1
106-5001,20160617,1
106-5001,20160620,1
106-5001,20160621,1
106-5001,20160622,1
106-5001,20160623,1
106-5001,20160624,1
106-5001,20160627,1
106-5001,20160628,1
106-5001,20160629,1
106-5001,20160630,1
106-5001,20160705,1
106-5001,20160706,1
106-5001,20160707,1
106-5001,20160708,1
106-5001,20160711,1
106-5001,20160712,1
106-5001,20160713,1
106-5001,20160714,1
106-5001,20160715,1
106-5001,20160718,1
106-5001,20160719,1
106-5001,20160720,1
106-5001,20160721,1
106-5001,20160722,1
106-5001,20160725,1
106-5001,20160726,1
106-5001,20160727,1
106-5001,20160728,1
106-5001,20160729,1
106-5001,20160801,1
106-5001,20160802,1
106-5001,20160803,1
106-5001,20160804,1
106-5001,20160805,1
106-5001,20160808,1
106-5001,20160809,1
106-5001,20160810,1
106-5001,20160811,1
106-5001,20160812,1
106-5001,20160815,1
106-5004,20160709,1
106-5004,20160813,1
